연번,구장명,주소,비고,위도,경도
1,금천구 풋살장,서울 금천구 가산동 562-2,"6:6, 야외",37.46909247,126.8821522
2,고척스카이돔풋살구장,서울 구로구 안양천로 545,"6:6, 야외",37.49581735,126.8673975
3,난우중학교풋살장,서울 관악구 난곡로16길 32,"6:6, 야외",37.46686079,126.9233102
4,오금풋살구장,서울 송파구 오금동 163,"6:6, 야외",37.49846775,127.1385109
5,중랑천제5체육공원풋살장,서울 중랑구 중화동 345-2,"6:6, 야외",37.60524434,127.0721983
6,초안산근린공원풋살장,서울 도봉구 창동 677,"6:6, 야외",37.64899869,127.0402796
7,응봉풋살장,서울 성동구 응봉동 240-1,"6:6, 야외",37.55117769,127.0362098
8,잠실종합운동장무브풋살파크,서울 송파구 올림픽로 25,"6:6, 야외",37.51218984,127.0753078
9,이촌한강공원풋살장,서울 용산구 한남동 782-2,"5:5, 야외",37.5283898,127.0073796
10,노들나루공원풋살장,서울 동작구 노량진로 247,"5:5, 야외",37.51350875,126.9544422
11,서남물재생센터공원풋살장,서울 강서구 방화동 139,"6:6, 야외",37.57762172,126.8208058
12,난지천공원풋살장,서울 마포구 하늘공원로 108-2,"6:6, 야외",37.56938305,126.8781664
13,서울월드컵경기장풋살구장,서울 마포구 성산동 산53-28,"6:6, 야외",37.57254538,126.8988669
14,일원에코파크풋살장,서울특별시 강남구 일원동 4-12,"6:6, 야외",37.4952427,127.0891682
15,성북종합레포츠타운,서울 성북구 한천로58길 307 성북종합레포츠타운,"6:6, 야외",37.61021705,127.0700509
16,서울어린이대공원풋살장,서울 광진구 능동로 216,"6:6, 야외",37.55090523,127.0842783
17,아차산배수지체육공원풋살장,서울특별시 광진구 구의동 38-4,"6:6, 야외",37.54896136,127.0965029
18,은평구민축구장풋살장,서울 은평구 진관동 242-6,"6:6, 야외",37.62966408,126.9188656
19,중랑천제3체육공원풋살장,서울 중랑구 면목동 1049-12,"6:6, 야외",37.58392591,127.074705
20,박미풋살장,서울 금천구 시흥동 673-3,"6:6, 야외",37.43777391,126.9007627
