사용월,호선명,지하철역,04시_승차,05시_승차,06시_승차,07시_승차,08시_승차,09시_승차,10시_승차,11시_승차,12시_승차,13시_승차,14시_승차,15시_승차,16시_승차,17시_승차,18시_승차,19시_승차,20시_승차,21시_승차,22시_승차,23시_승차,00시_승차,01시_승차,02시_승차,03시_승차
202304,1호선,동대문,749,10603,9478,14847,19769,18869,17768,19118,23034,24562,25996,27391,27372,26703,24733,18095,15469,14143,11377,5017,524,1,0,0
202304,1호선,동묘앞,204,2738,3544,7427,11216,10498,11830,16499,23018,30655,33092,35380,36258,34474,25027,11098,6358,5469,3992,1378,89,2,0,0
202304,1호선,서울역,673,7682,13316,42256,71698,61867,63776,75338,89059,87807,70323,98818,112363,164944,218834,116611,85113,84951,57870,24520,2424,0,0,0
202304,1호선,시청,135,2141,3966,7878,10276,13496,16330,22222,23395,28701,37083,49243,60780,91883,161064,64188,55734,49170,31113,9870,345,0,0,0
202304,1호선,신설동,409,8266,9839,21340,31529,20706,18156,20184,21613,23549,22987,24457,29002,38892,51165,21168,14863,13255,9301,3949,395,0,1,0
202304,1호선,제기동,351,5279,8745,23486,32788,24589,26031,33342,37868,40511,44214,49007,47531,43890,39467,21417,13407,9465,6040,2284,156,0,0,0
202304,1호선,종각,108,3692,4437,6811,10852,13182,18712,26948,33031,41857,51139,64587,76257,143949,215927,96328,81922,86063,62384,27518,966,0,0,0
202304,1호선,종로3가,179,3860,4032,5702,9806,15716,21194,30989,42508,48795,57995,67545,74537,85757,100131,61070,50190,52624,40622,17246,1283,1,0,0
202304,1호선,종로5가,60,1966,3316,6316,10398,14131,23243,35917,45951,52646,59599,63979,68332,86869,98442,53844,38585,35571,21337,6901,269,0,0,0
202304,1호선,청량리(서울시립대입구),973,10927,15996,38263,47805,31976,30287,35122,39485,41405,42726,48086,55110,51468,43722,24620,18609,15031,8922,3636,188,0,0,0
202304,2호선,강남,184,8940,18495,39623,63947,52722,52776,68609,86037,99528,110176,133225,159592,237734,308641,201364,158421,184316,166060,77194,13039,2,0,0
202304,2호선,강변(동서울터미널),25,8244,27075,77066,117351,84314,66405,57201,53862,50018,44234,47171,50543,55845,61109,44129,35877,28305,19259,7854,823,1,0,0
202304,2호선,건대입구,328,16507,22142,53386,92088,64023,40605,38764,46237,51689,51486,56373,65467,75242,88313,67672,70990,79125,81624,49847,7478,5,0,0
202304,2호선,교대(법원.검찰청),41,2838,11578,26331,38293,30157,28507,33425,35316,43710,51081,56020,57556,95308,134212,65089,54528,55989,45075,16606,3152,0,0,0
202304,2호선,구로디지털단지,282,36438,54294,140938,188076,118212,72708,64259,69530,68553,61540,64233,78334,129549,205800,101791,65563,56112,42427,19236,3260,0,0,0
202304,2호선,구의(광진구청),49,13205,26723,68086,115636,72005,38108,31684,32848,32171,28472,28903,37946,36229,43121,23587,18318,16828,15465,8278,1253,0,0,0
202304,2호선,낙성대(강감찬),25,11213,26423,84126,127483,83002,46485,39003,42890,41938,36846,37837,42721,46729,51663,29849,24188,22423,17132,9352,1611,1,0,0
202304,2호선,당산,30,6765,16708,45399,58331,39206,27308,25347,25648,24989,22481,24612,29408,43432,60581,28175,22173,21523,18794,8703,1243,0,0,0
202304,2호선,대림(구로구청),638,32254,31215,68503,93629,64276,40877,36637,37264,35627,34292,36381,38175,44065,51961,27495,20171,16034,11164,5470,763,2,1,0
202304,2호선,도림천,0,369,1123,3323,3611,2210,1883,1802,2164,1713,2064,2588,3135,2948,3641,1629,1082,807,562,185,44,0,0,0
202304,2호선,동대문역사문화공원(DDP),163,4766,4107,7129,12948,14258,16263,18845,21485,23269,27451,33053,40623,44367,46547,30703,23676,25273,18767,9498,1741,0,0,0
202304,2호선,뚝섬,11,3251,8410,18093,25194,17684,14584,17030,21764,25729,31588,41364,53065,79702,135146,71683,49169,45754,29607,11242,1458,3,0,0
202304,2호선,문래,11,4102,13892,43849,49548,29007,21311,20400,24622,25106,24659,27805,34586,57550,104153,39138,26989,28473,22686,10918,1744,1,0,0
202304,2호선,방배,4,2619,9678,23084,32177,26510,20637,22307,24739,26999,30983,34298,41698,51372,69295,32021,25266,24685,20917,8312,1630,0,0,0
202304,2호선,봉천,104,15201,29553,83702,121338,77231,44026,35130,36808,36741,30412,29596,31601,30651,31865,20831,16446,14594,11214,4669,857,1,0,0
202304,2호선,사당,104,11837,28213,76357,98774,76732,50161,46139,52941,55698,59111,61883,66545,77936,96676,69690,67657,72227,65562,35483,5446,2,0,0
202304,2호선,삼성(무역센터),156,4522,6969,14288,19703,21179,25068,37752,48766,64896,80011,102050,131083,220254,307580,153729,117485,104272,63723,17772,2423,2,0,0
202304,2호선,상왕십리,38,5659,14421,40878,66803,37628,23560,20200,22196,20494,19036,19737,21035,24699,26688,18650,12631,11085,7807,3040,410,0,0,0
202304,2호선,서울대입구(관악구청),4522,27339,43717,127996,175370,121575,72005,62390,68783,74575,64040,69676,73990,84829,90729,56902,48048,51105,46164,24169,3920,1,0,0
202304,2호선,서초,6,1881,12991,21344,29841,29498,23002,29963,28344,35824,36077,43384,48309,69317,93249,46109,32190,32651,19050,6745,964,0,0,0
202304,2호선,선릉,122,4944,11291,21426,34232,33158,36897,46254,56298,64296,73678,91713,116534,190998,287597,144404,92897,88976,73144,26660,3962,4,0,0
202304,2호선,성수,52,5305,9804,23373,31697,24525,22624,25469,31629,38741,45487,56459,72294,129673,237143,115807,81047,72534,51076,20406,2803,5,0,0
202304,2호선,시청,74,795,2317,5682,8654,12146,18559,23684,24955,29331,34789,42631,52784,95052,163649,61936,47623,42997,26531,10145,1288,1,0,0
