승차인원수,위도,경도,시간대
71.375,37.492522,127.118234,4
2835.75,37.492522,127.118234,5
6084.875,37.492522,127.118234,6
14798.5,37.492522,127.118234,7
17228.625,37.492522,127.118234,8
12901.625,37.492522,127.118234,9
11842.5,37.492522,127.118234,10
11875.875,37.492522,127.118234,11
12126.0,37.492522,127.118234,12
12454.375,37.492522,127.118234,13
13082.5,37.492522,127.118234,14
14633.375,37.492522,127.118234,15
15246.125,37.492522,127.118234,16
20299.25,37.492522,127.118234,17
28430.375,37.492522,127.118234,18
12371.875,37.492522,127.118234,19
10320.25,37.492522,127.118234,20
9826.625,37.492522,127.118234,21
7567.375,37.492522,127.118234,22
3316.625,37.492522,127.118234,23
575.375,37.492522,127.118234,0
3.25,37.492522,127.118234,1
0.25,37.492522,127.118234,2
0.0,37.492522,127.118234,3
1000.25,37.481072,126.882343,4
7465.625,37.481072,126.882343,5
7786.125,37.481072,126.882343,6
18611.375,37.481072,126.882343,7
20339.5,37.481072,126.882343,8
15143.25,37.481072,126.882343,9
13854.125,37.481072,126.882343,10
16859.5,37.481072,126.882343,11
21132.25,37.481072,126.882343,12
23966.0,37.481072,126.882343,13
27062.125,37.481072,126.882343,14
34319.75,37.481072,126.882343,15
51961.875,37.481072,126.882343,16
135860.75,37.481072,126.882343,17
204501.25,37.481072,126.882343,18
82335.375,37.481072,126.882343,19
46881.875,37.481072,126.882343,20
37563.375,37.481072,126.882343,21
21888.125,37.481072,126.882343,22
9084.125,37.481072,126.882343,23
912.125,37.481072,126.882343,0
0.25,37.481072,126.882343,1
0.125,37.481072,126.882343,2
0.0,37.481072,126.882343,3
93.25,37.561391,126.854456,4
14969.25,37.561391,126.854456,5
26506.75,37.561391,126.854456,6
77067.75,37.561391,126.854456,7
79685.25,37.561391,126.854456,8
45710.5,37.561391,126.854456,9
32261.75,37.561391,126.854456,10
31177.75,37.561391,126.854456,11
33185.0,37.561391,126.854456,12
30307.5,37.561391,126.854456,13
27306.75,37.561391,126.854456,14
28321.5,37.561391,126.854456,15
32787.25,37.561391,126.854456,16
41043.25,37.561391,126.854456,17
49050.5,37.561391,126.854456,18
21921.5,37.561391,126.854456,19
16597.75,37.561391,126.854456,20
13667.25,37.561391,126.854456,21
10093.0,37.561391,126.854456,22
3889.0,37.561391,126.854456,23
581.75,37.561391,126.854456,0
1.25,37.561391,126.854456,1
0.0,37.561391,126.854456,2
0.0,37.561391,126.854456,3
6.25,37.641701,127.016792,4
2518.25,37.641701,127.016792,5
5800.25,37.641701,127.016792,6
16472.25,37.641701,127.016792,7
17437.25,37.641701,127.016792,8
11298.0,37.641701,127.016792,9
8254.25,37.641701,127.016792,10
7879.0,37.641701,127.016792,11
7634.5,37.641701,127.016792,12
7269.0,37.641701,127.016792,13
5967.0,37.641701,127.016792,14
5921.25,37.641701,127.016792,15
5737.75,37.641701,127.016792,16
6074.0,37.641701,127.016792,17
4706.25,37.641701,127.016792,18
3319.5,37.641701,127.016792,19
2206.5,37.641701,127.016792,20
1585.25,37.641701,127.016792,21
1196.0,37.641701,127.016792,22
526.75,37.641701,127.016792,23
156.75,37.641701,127.016792,0
0.25,37.641701,127.016792,1
0.0,37.641701,127.016792,2
0.0,37.641701,127.016792,3
301.0,37.464737,126.694181,4
5412.75,37.464737,126.694181,5
10626.5,37.464737,126.694181,6
22963.0,37.464737,126.694181,7
18870.5,37.464737,126.694181,8
11494.0,37.464737,126.694181,9
9572.5,37.464737,126.694181,10
9331.0,37.464737,126.694181,11
