하차인원수,위도,경도,시간대
4.75,37.492522,127.118234,4
1394.875,37.492522,127.118234,5
6134.875,37.492522,127.118234,6
12608.25,37.492522,127.118234,7
33203.5,37.492522,127.118234,8
15885.75,37.492522,127.118234,9
11242.25,37.492522,127.118234,10
11382.25,37.492522,127.118234,11
11623.25,37.492522,127.118234,12
11941.25,37.492522,127.118234,13
12030.625,37.492522,127.118234,14
13105.125,37.492522,127.118234,15
14785.875,37.492522,127.118234,16
17667.375,37.492522,127.118234,17
22754.875,37.492522,127.118234,18
16272.875,37.492522,127.118234,19
10371.75,37.492522,127.118234,20
9398.375,37.492522,127.118234,21
8073.5,37.492522,127.118234,22
4743.0,37.492522,127.118234,23
2026.375,37.492522,127.118234,0
248.625,37.492522,127.118234,1
0.875,37.492522,127.118234,2
0.0,37.492522,127.118234,3
3.5,37.481072,126.882343,4
4562.5,37.481072,126.882343,5
21883.625,37.481072,126.882343,6
89633.875,37.481072,126.882343,7
262858.5,37.481072,126.882343,8
142332.875,37.481072,126.882343,9
41058.25,37.481072,126.882343,10
25770.125,37.481072,126.882343,11
24614.5,37.481072,126.882343,12
26311.875,37.481072,126.882343,13
23933.5,37.481072,126.882343,14
22378.375,37.481072,126.882343,15
23365.875,37.481072,126.882343,16
27069.875,37.481072,126.882343,17
31374.0,37.481072,126.882343,18
22789.0,37.481072,126.882343,19
13782.5,37.481072,126.882343,20
12533.875,37.481072,126.882343,21
10856.125,37.481072,126.882343,22
6971.375,37.481072,126.882343,23
1964.875,37.481072,126.882343,0
3.125,37.481072,126.882343,1
0.125,37.481072,126.882343,2
0.0,37.481072,126.882343,3
0.0,37.561391,126.854456,4
1452.0,37.561391,126.854456,5
9049.5,37.561391,126.854456,6
26993.75,37.561391,126.854456,7
49342.5,37.561391,126.854456,8
29000.25,37.561391,126.854456,9
19196.5,37.561391,126.854456,10
18939.25,37.561391,126.854456,11
21012.25,37.561391,126.854456,12
24669.25,37.561391,126.854456,13
25962.5,37.561391,126.854456,14
29604.0,37.561391,126.854456,15
36866.25,37.561391,126.854456,16
45461.25,37.561391,126.854456,17
70245.25,37.561391,126.854456,18
62847.0,37.561391,126.854456,19
37439.75,37.561391,126.854456,20
34904.5,37.561391,126.854456,21
30577.25,37.561391,126.854456,22
19044.5,37.561391,126.854456,23
6296.75,37.561391,126.854456,0
164.5,37.561391,126.854456,1
0.5,37.561391,126.854456,2
0.0,37.561391,126.854456,3
0.5,37.641701,127.016792,4
290.75,37.641701,127.016792,5
1335.0,37.641701,127.016792,6
2687.75,37.641701,127.016792,7
5756.0,37.641701,127.016792,8
4489.25,37.641701,127.016792,9
4123.0,37.641701,127.016792,10
4621.25,37.641701,127.016792,11
5204.5,37.641701,127.016792,12
5796.25,37.641701,127.016792,13
6164.25,37.641701,127.016792,14
7773.5,37.641701,127.016792,15
9344.75,37.641701,127.016792,16
9949.5,37.641701,127.016792,17
13298.75,37.641701,127.016792,18
12732.0,37.641701,127.016792,19
7934.75,37.641701,127.016792,20
6979.25,37.641701,127.016792,21
5814.75,37.641701,127.016792,22
3564.0,37.641701,127.016792,23
1070.0,37.641701,127.016792,0
3.5,37.641701,127.016792,1
0.0,37.641701,127.016792,2
0.0,37.641701,127.016792,3
10.5,37.464737,126.694181,4
1227.75,37.464737,126.694181,5
2335.0,37.464737,126.694181,6
4040.25,37.464737,126.694181,7
8740.25,37.464737,126.694181,8
5089.25,37.464737,126.694181,9
5075.5,37.464737,126.694181,10
5628.0,37.464737,126.694181,11
6128.0,37.464737,126.694181,12
7788.25,37.464737,126.694181,13
7503.75,37.464737,126.694181,14
9127.25,37.464737,126.694181,15
11402.5,37.464737,126.694181,16
13944.25,37.464737,126.694181,17
