기준일ID,시간대구분,행정동코드,행정동명,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
20230524,0,11110515,서울특별시 종로구 청운효자동,15647.1864,691.0474,440.3371,558.262,508.1378,419.0239,407.9547,516.3305,625.59,634.8972,603.0179,455.5657,376.2178,254.5184,599.1425,739.3836,443.0181,437.4439,388.8945,440.2464,540.9623,617.9661,725.5513,864.5871,631.7088,653.515,496.0182,361.7608,1216.0881
20230524,0,11110530,서울특별시 종로구 사직동,12993.883,363.7416,161.6629,194.6075,327.0923,412.66,476.8893,592.7638,684.7795,603.5468,591.3024,518.1312,390.9993,312.1384,598.3254,334.6265,179.2638,256.0508,330.5461,452.1665,517.96,734.47,546.3135,668.9874,518.9216,496.9823,463.8421,298.8675,966.2442
20230524,0,11110540,서울특별시 종로구 삼청동,3698.2805,83.7208,64.1501,309.4145,218.2705,93.4354,135.1329,144.2327,185.7763,116.0581,179.5397,102.3493,84.6581,74.87,178.1751,80.5761,49.4966,35.1166,88.3364,107.4392,105.8846,128.8961,198.9166,175.4269,92.718,124.8407,130.3561,115.534,294.9591
20230524,0,11110550,서울특별시 종로구 부암동,14041.0218,437.4616,339.2018,517.3964,434.9488,395.0124,314.854,482.1291,430.9987,527.9603,566.9575,550.2843,422.8499,283.4314,708.8328,481.9639,343.2692,426.6963,473.1019,444.1662,340.5095,542.0175,632.5932,794.9249,600.6828,591.5199,479.9927,400.9613,1076.3031
20230524,0,11110560,서울특별시 종로구 평창동,18966.8192,594.7278,430.1859,571.4202,618.2474,498.9935,387.2123,472.6862,592.8942,732.8013,769.6356,710.8374,714.6679,465.5331,919.5208,695.9396,406.6165,560.2205,521.7048,455.9894,448.3025,689.613,766.6149,857.8774,814.1352,1108.7229,822.2288,638.5887,1700.9013
20230524,0,11110570,서울특별시 종로구 무악동,7385.1819,245.6568,157.1058,204.0732,311.376,183.5203,163.1362,240.8744,202.4675,246.0456,293.8354,262.1744,234.4225,165.7357,391.0076,324.5119,205.1314,286.6086,206.7872,189.4714,195.4218,306.4146,279.2955,372.4906,288.4877,352.0724,299.1977,230.1003,547.7594
20230524,0,11110580,서울특별시 종로구 교남동,7316.6241,369.2247,146.8785,158.5827,162.8243,206.2037,211.5915,293.2032,323.1801,326.954,325.1645,212.854,178.6251,150.8807,276.7144,216.1989,103.4418,249.9331,295.7987,283.7455,256.4057,358.0008,306.2497,387.043,317.9895,285.6674,180.6416,178.7649,553.862
20230524,0,11110600,서울특별시 종로구 가회동,4654.0036,96.3085,67.9822,318.9456,157.2474,87.2423,142.7506,204.672,164.1169,203.1464,199.7108,191.0142,111.885,96.9049,207.0146,127.5303,72.594,88.0927,123.1171,111.929,123.2682,184.3819,180.4424,256.1259,212.1383,247.2038,142.0755,133.5114,402.6506
20230524,0,11110615,서울특별시 종로구 종로1·2·3·4가동,25561.4946,637.8621,200.9704,228.6218,967.3204,1543.9172,1337.9813,1534.1579,1444.9236,1540.1947,1424.5518,1376.1934,895.211,628.5243,1103.1881,328.2023,160.945,490.2784,1578.6942,1240.5769,985.2256,842.5683,796.767,744.1989,627.6042,705.4104,580.3997,462.2343,1154.7719
20230524,0,11110630,서울특별시 종로구 종로5·6가동,9980.9842,77.6333,59.0938,389.9917,452.763,542.7303,380.8692,505.7669,415.9779,477.3166,530.811,467.2956,380.6262,262.3452,452.5938,92.3274,96.5244,282.0961,568.1672,509.2807,323.3325,311.7535,217.8329,234.4824,310.6877,412.1769,316.0891,192.3639,718.055
20230524,0,11110640,서울특별시 종로구 이화동,16092.7981,144.2374,79.6892,314.81,843.6613,810.9678,757.9291,696.4812,583.2667,605.881,647.0946,501.6457,367.1319,242.3677,720.5291,154.8564,106.21,635.6354,1111.2395,1084.4155,795.0332,810.0276,607.7844,579.0528,484.5854,455.5434,486.5682,363.9304,1102.2229
