행정동명,,동별(2),동별(3),인구 (명),면적 (㎢),인구밀도
서울특별시 종로구 사직동,서울특별시,종로구,사직동,9355,1.23,7606
서울특별시 종로구 삼청동,서울특별시,종로구,삼청동,2642,1.49,1773
서울특별시 종로구 부암동,서울특별시,종로구,부암동,9536,2.27,4201
서울특별시 종로구 평창동,서울특별시,종로구,평창동,17858,8.87,2013
서울특별시 종로구 무악동,서울특별시,종로구,무악동,8052,0.36,22367
서울특별시 종로구 교남동,서울특별시,종로구,교남동,9994,0.35,28554
서울특별시 종로구 가회동,서울특별시,종로구,가회동,4065,0.54,7528
서울특별시 종로구 종로1·2·3·4가동,서울특별시,종로구,종로1·2·3·4가동,8700,2.35,3702
서울특별시 종로구 종로5·6가동,서울특별시,종로구,종로5·6가동,5817,0.6,9695
서울특별시 종로구 이화동,서울특별시,종로구,이화동,7631,0.78,9783
서울특별시 종로구 창신1동,서울특별시,종로구,창신1동,5383,0.31,17365
서울특별시 종로구 창신2동,서울특별시,종로구,창신2동,8796,0.26,33831
서울특별시 종로구 창신3동,서울특별시,종로구,창신3동,6606,0.23,28722
서울특별시 종로구 숭인1동,서울특별시,종로구,숭인1동,6057,0.23,26335
서울특별시 종로구 숭인2동,서울특별시,종로구,숭인2동,10509,0.35,30026
서울특별시 종로구 청운효자동,서울특별시,종로구,청운효자동,11818,2.57,4598
서울특별시 종로구 혜화동,서울특별시,종로구,혜화동,19392,1.12,17314
서울특별시 중구 소공동,서울특별시,중구,소공동,3578,0.95,3766
서울특별시 중구 회현동,서울특별시,중구,회현동,5222,0.84,6217
서울특별시 중구 명동,서울특별시,중구,명동,3638,0.99,3675
서울특별시 중구 필동,서울특별시,중구,필동,4816,1.14,4225
서울특별시 중구 장충동,서울특별시,중구,장충동,5326,1.36,3916
서울특별시 중구 광희동,서울특별시,중구,광희동,6682,0.74,9030
서울특별시 중구 을지로동,서울특별시,중구,을지로동,1912,0.6,3187
서울특별시 중구 신당5동,서울특별시,중구,신당5동,10513,0.39,26956
서울특별시 중구 황학동,서울특별시,중구,황학동,13459,0.33,40785
서울특별시 중구 중림동,서울특별시,중구,중림동,12338,0.48,25704
서울특별시 중구 신당동,서울특별시,중구,신당동,9087,0.55,16522
서울특별시 중구 다산동,서울특별시,중구,다산동,13954,0.51,27361
서울특별시 중구 약수동,서울특별시,중구,약수동,16610,0.48,34604
서울특별시 중구 청구동,서울특별시,중구,청구동,13451,0.34,39562
서울특별시 중구 동화동,서울특별시,중구,동화동,10199,0.26,39227
서울특별시 용산구 후암동,서울특별시,용산구,후암동,16812,0.86,19549
서울특별시 용산구 용산2가동,서울특별시,용산구,용산2가동,10333,1.96,5272
서울특별시 용산구 남영동,서울특별시,용산구,남영동,7552,1.19,6346
서울특별시 용산구 원효로2동,서울특별시,용산구,원효로2동,13795,0.71,19430
서울특별시 용산구 효창동,서울특별시,용산구,효창동,10888,0.44,24745
서울특별시 용산구 용문동,서울특별시,용산구,용문동,11664,0.28,41657
서울특별시 용산구 이촌1동,서울특별시,용산구,이촌1동,25707,2.86,8988
서울특별시 용산구 이촌2동,서울특별시,용산구,이촌2동,8094,1.22,6634
서울특별시 용산구 이태원1동,서울특별시,용산구,이태원1동,7947,0.57,13942
서울특별시 용산구 이태원2동,서울특별시,용산구,이태원2동,10427,0.86,12124
서울특별시 용산구 서빙고동,서울특별시,용산구,서빙고동,13458,2.8,4806
서울특별시 용산구 보광동,서울특별시,용산구,보광동,14060,0.71,19803
서울특별시 용산구 청파동,서울특별시,용산구,청파동,19833,0.9,22037
서울특별시 용산구 원효로1동,서울특별시,용산구,원효로1동,17774,0.59,30125
서울특별시 용산구 한강로동,서울특별시,용산구,한강로동,22886,2.9,7892
서울특별시 용산구 한남동,서울특별시,용산구,한남동,22054,3.01,7327
서울특별시 성동구 왕십리2동,서울특별시,성동구,왕십리2동,16688,0.41,40702
서울특별시 성동구 마장동,서울특별시,성동구,마장동,22706,1.05,21625
서울특별시 성동구 사근동,서울특별시,성동구,사근동,14082,1.1,12802
서울특별시 성동구 행당1동,서울특별시,성동구,행당1동,13996,0.59,23722
서울특별시 성동구 행당2동,서울특별시,성동구,행당2동,23148,0.42,55114
서울특별시 성동구 응봉동,서울특별시,성동구,응봉동,15100,0.57,26491
서울특별시 성동구 금호1가동,서울특별시,성동구,금호1가동,15137,0.46,32907
서울특별시 성동구 금호4가동,서울특별시,성동구,금호4가동,14228,0.84,16938
서울특별시 성동구 성수1가1동,서울특별시,성동구,성수1가1동,16407,1.97,8328
서울특별시 성동구 성수1가2동,서울특별시,성동구,성수1가2동,12322,0.89,13845
서울특별시 성동구 성수2가1동,서울특별시,성동구,성수2가1동,15716,1.17,13432
서울특별시 성동구 성수2가3동,서울특별시,성동구,성수2가3동,10520,1.03,10214
서울특별시 성동구 송정동,서울특별시,성동구,송정동,10464,0.75,13952
서울특별시 성동구 용답동,서울특별시,성동구,용답동,12551,2.31,5433
