사용월,호선명,지하철역,04시_하차,05시_하차,06시_하차,07시_하차,08시_하차,09시_하차,10시_하차,11시_하차,12시_하차,13시_하차,14시_하차,15시_하차,16시_하차,17시_하차,18시_하차,19시_하차,20시_하차,21시_하차,22시_하차,23시_하차,00시_하차,01시_하차,02시_하차,03시_하차
202304,1호선,동대문,13,2210,6645,12784,21580,23520,24579,27129,26700,24210,23672,22025,21567,21294,21351,20473,14493,12824,11170,8762,2480,186,0,0
202304,1호선,동묘앞,3,993,4933,10082,22525,18020,23482,30405,32340,37040,31652,27870,20652,15353,11795,8207,6289,6171,6744,3998,1634,295,0,0
202304,1호선,서울역,28,8982,56520,111551,222335,157112,78084,69965,80142,79108,70863,77215,78640,91680,95631,66395,47757,41453,27728,13801,2423,179,0,0
202304,1호선,시청,5,4360,24036,72065,192373,90577,43643,43380,40340,40882,32890,28982,28676,28945,26404,13718,9372,8862,6738,4147,923,14,0,0
202304,1호선,신설동,5,2287,8406,24029,55301,32648,21784,19037,18674,19543,18317,20006,20992,23813,30588,22213,14948,14243,12749,9184,1967,0,1,0
202304,1호선,제기동,3,2074,9018,19588,38732,33656,38243,43728,48155,48882,45695,39596,34651,28214,27897,19058,12640,11888,10116,6812,1230,0,0,0
202304,1호선,종각,1,4916,26787,103796,258237,152159,64113,58596,51315,50012,42263,37018,38175,44570,48323,25150,12627,9120,6706,4158,770,0,0,0
202304,1호선,종로3가,10,2908,12157,25659,69800,67985,58637,66553,67838,63387,55406,46100,43088,41802,42578,22055,12215,9263,7229,4551,1747,19,0,0
202304,1호선,종로5가,1,3701,14990,41593,97462,63212,59940,63759,60543,55563,52702,44395,40379,36745,34555,19556,10461,7922,5717,3403,962,0,0,0
202304,1호선,청량리(서울시립대입구),30,3615,21251,18470,36752,35897,36533,40651,41478,44952,44860,43787,42332,41474,48317,32086,19231,18692,15319,9482,3289,1,0,0
202304,2호선,강남,13,10705,52239,148976,295614,303214,146767,101527,98981,112447,97516,95724,102743,134555,177724,108546,60169,49930,42626,24423,6605,111,1,0
202304,2호선,강변(동서울터미널),2,2147,23055,24970,43997,37611,36468,34140,39300,44099,48013,58200,64047,81181,107895,78057,53687,44319,41910,21817,5366,77,0,0
202304,2호선,건대입구,7,1649,15965,25561,64726,53250,45122,48181,54372,60410,59833,64618,79241,108233,156507,110773,68185,61779,54445,32339,10736,847,0,0
