BASE_YEAR,BASE_MT,SIGNGU_NM,AVRG_FYER_INCOME_PRICE
2014,3,강서구,27000
2014,3,금정구,28000
2014,3,기장군,28000
2014,3,남구,28000
2014,3,동구,26000
2014,3,동래구,29000
2014,3,부산진구,28000
2014,3,북구,27000
2014,3,사상구,26000
2014,3,사하구,27000
2014,3,서구,28000
2014,3,수영구,29000
2014,3,연제구,28000
2014,3,영도구,27000
2014,3,중구,27000
2014,3,해운대구,30000
2014,6,강서구,27000
2014,6,금정구,28000
2014,6,기장군,29000
2014,6,남구,28000
2014,6,동구,26000
2014,6,동래구,29000
2014,6,부산진구,28000
2014,6,북구,27000
2014,6,사상구,26000
2014,6,사하구,28000
2014,6,서구,28000
2014,6,수영구,29000
2014,6,연제구,28000
2014,6,영도구,27000
2014,6,중구,27000
2014,6,해운대구,30000
2014,9,강서구,27000
2014,9,금정구,28000
2014,9,기장군,28000
2014,9,남구,28000
2014,9,동구,26000
2014,9,동래구,29000
2014,9,부산진구,28000
2014,9,북구,27000
2014,9,사상구,26000
2014,9,사하구,28000
2014,9,서구,28000
2014,9,수영구,29000
2014,9,연제구,28000
2014,9,영도구,27000
2014,9,중구,27000
2014,9,해운대구,30000
2014,12,강서구,27000
2014,12,금정구,28000
2014,12,기장군,28000
2014,12,남구,28000
2014,12,동구,26000
2014,12,동래구,29000
2014,12,부산진구,28000
2014,12,북구,27000
2014,12,사상구,26000
2014,12,사하구,27000
2014,12,서구,28000
2014,12,수영구,29000
2014,12,연제구,28000
2014,12,영도구,27000
2014,12,중구,27000
2014,12,해운대구,30000
2015,3,강서구,28000
2015,3,금정구,28000
2015,3,기장군,28000
2015,3,남구,28000
2015,3,동구,26000
2015,3,동래구,29000
2015,3,부산진구,28000
2015,3,북구,27000
2015,3,사상구,26000
2015,3,사하구,27000
2015,3,서구,28000
2015,3,수영구,29000
2015,3,연제구,28000
2015,3,영도구,27000
2015,3,중구,27000
2015,3,해운대구,30000
2015,6,강서구,28000
2015,6,금정구,28000
2015,6,기장군,28000
2015,6,남구,28000
2015,6,동구,26000
2015,6,동래구,29000
2015,6,부산진구,28000
2015,6,북구,27000
2015,6,사상구,26000
2015,6,사하구,27000
2015,6,서구,28000
2015,6,수영구,29000
2015,6,연제구,28000
2015,6,영도구,27000
2015,6,중구,27000
2015,6,해운대구,30000
2015,9,강서구,28000
2015,9,금정구,28000
2015,9,기장군,28000
2015,9,남구,28000
2015,9,동구,26000
2015,9,동래구,29000
2015,9,부산진구,28000
2015,9,북구,27000
2015,9,사상구,26000
2015,9,사하구,27000
2015,9,서구,28000
2015,9,수영구,30000
2015,9,연제구,29000
2015,9,영도구,27000
2015,9,중구,27000
2015,9,해운대구,30000
2015,12,강서구,28000
2015,12,금정구,28000
2015,12,기장군,29000
2015,12,남구,28000
2015,12,동구,26000
2015,12,동래구,29000
2015,12,부산진구,28000
2015,12,북구,27000
2015,12,사상구,26000
2015,12,사하구,27000
2015,12,서구,28000
2015,12,수영구,30000
2015,12,연제구,29000
2015,12,영도구,27000
2015,12,중구,27000
2015,12,해운대구,31000
2016,3,강서구,28000
2016,3,금정구,29000
2016,3,기장군,29000
2016,3,남구,27000
2016,3,동구,26000
2016,3,동래구,29000
2016,3,부산진구,28000
2016,3,북구,27000
2016,3,사상구,26000
2016,3,사하구,27000
2016,3,서구,28000
2016,3,수영구,30000
2016,3,연제구,29000
2016,3,영도구,27000
2016,3,중구,27000
2016,3,해운대구,31000
2016,6,강서구,28000
2016,6,금정구,29000
2016,6,기장군,29000
2016,6,남구,28000
2016,6,동구,26000
2016,6,동래구,30000
2016,6,부산진구,28000
2016,6,북구,28000
2016,6,사상구,26000
2016,6,사하구,27000
2016,6,서구,28000
2016,6,수영구,30000
2016,6,연제구,29000
2016,6,영도구,27000
2016,6,중구,27000
2016,6,해운대구,32000
2016,9,강서구,28000
2016,9,금정구,29000
2016,9,기장군,29000
2016,9,남구,28000
2016,9,동구,26000
2016,9,동래구,30000
2016,9,부산진구,28000
2016,9,북구,28000
2016,9,사상구,26000
2016,9,사하구,27000
2016,9,서구,28000
2016,9,수영구,30000
2016,9,연제구,29000
2016,9,영도구,27000
2016,9,중구,27000
2016,9,해운대구,32000
2016,12,강서구,28000
2016,12,금정구,29000
2016,12,기장군,29000
2016,12,남구,28000
2016,12,동구,26000
2016,12,동래구,30000
2016,12,부산진구,28000
2016,12,북구,28000
2016,12,사상구,26000
2016,12,사하구,27000
2016,12,서구,28000
2016,12,수영구,30000
2016,12,연제구,29000
2016,12,영도구,27000
