변환,대출금리,원자료,원자료,원자료
2008-01-01,5,5.3,3.25,
2008-02-01,5,5.3,3.25,
2008-03-01,5,5.3,3.25,
2008-04-01,5,5.08,3.25,
2008-05-01,5,5.08,3.25,
2008-06-01,5,5.08,3.25,
2008-07-01,5,5.23,3.25,
2008-08-01,5.25,5.23,3.5,
2008-09-01,5.25,5.23,3.5,
2008-10-01,4.25,5.45,2.5,
2008-11-01,4,5.45,2.25,
2008-12-01,3,5.45,1.75,
2009-01-01,2.5,3.43,1.5,
2009-02-01,2,3.43,1.25,
2009-03-01,2,3.43,1.25,
2009-04-01,2,1.84,1.25,
2009-05-01,2,1.84,1.25,
2009-06-01,2,1.84,1.25,
2009-07-01,2,2.25,1.25,
2009-08-01,2,2.25,1.25,
2009-09-01,2,2.25,1.25,
2009-10-01,2,2.43,1.25,
2009-11-01,2,2.43,1.25,
2009-12-01,2,2.43,1.25,
2010-01-01,2,2.41,1.25,
2010-02-01,2,2.41,1.25,
2010-03-01,2,2.41,1.25,
2010-04-01,2,2.28,1.25,
2010-05-01,2,2.28,1.25,
2010-06-01,2,2.28,1.25,
2010-07-01,2.25,2.24,1.25,
2010-08-01,2.25,2.24,1.25,
2010-09-01,2.25,2.24,1.25,
2010-10-01,2.25,2.6,1.25,
2010-11-01,2.5,2.6,1.25,
2010-12-01,2.5,2.6,1.25,
2011-01-01,2.75,2.76,1.25,
2011-02-01,2.75,2.76,1.25,
2011-03-01,3,2.76,1.5,
2011-04-01,3,3.36,1.5,
2011-05-01,3,3.36,1.5,
2011-06-01,3.25,3.36,1.5,
2011-07-01,3.25,3.44,1.5,
2011-08-01,3.25,3.44,1.5,
2011-09-01,3.25,3.44,1.5,
2011-10-01,3.25,3.4,1.5,
2011-11-01,3.25,3.4,1.5,
2011-12-01,3.25,3.4,1.5,
2012-01-01,3.25,3.57,1.5,
2012-02-01,3.25,3.57,1.5,
2012-03-01,3.25,3.57,1.5,
2012-04-01,3.25,3.58,1.5,
2012-05-01,3.25,3.58,1.5,
2012-06-01,3.25,3.58,1.5,
2012-07-01,3,3.39,1.5,
2012-08-01,3,3.39,1.5,
2012-09-01,3,3.39,1.5,
2012-10-01,2.75,2.96,1.25,
2012-11-01,2.75,2.96,1.25,
2012-12-01,2.75,2.96,1.25,
2013-01-01,2.75,2.89,1.25,
2013-02-01,2.75,2.89,1.25,
2013-03-01,2.75,2.89,1.25,
2013-04-01,2.75,2.7,,1.25
2013-05-01,2.5,2.7,,1.25
2013-06-01,2.5,2.7,,1.25
2013-07-01,2.5,2.68,,
2013-08-01,2.5,2.68,,
2013-09-01,2.5,2.68,,
2013-10-01,2.5,2.67,,
2013-11-01,2.5,2.67,,
2013-12-01,2.5,2.67,,
2014-01-01,2.5,2.67,,
2014-02-01,2.5,2.67,,
2014-03-01,2.5,2.67,,
2014-04-01,2.5,2.68,,
2014-05-01,2.5,2.68,,
2014-06-01,2.5,2.68,,
2014-07-01,2.5,2.66,,
2014-08-01,2.25,2.66,,
2014-09-01,2.25,2.66,,
2014-10-01,2,2.35,,
2014-11-01,2,2.35,,
2014-12-01,2,2.35,,
2015-01-01,2,2.16,,
2015-02-01,2,2.16,,
2015-03-01,1.75,2.16,,
2015-04-01,1.75,1.932,,
2015-05-01,1.75,1.932,,
2015-06-01,1.5,1.932,,
2015-07-01,1.5,1.704,,
2015-08-01,1.5,1.704,,
2015-09-01,1.5,1.704,,
2015-10-01,1.5,1.627,,
2015-11-01,1.5,1.627,,
2015-12-01,1.5,1.627,,
2016-01-01,1.5,1.664,,
2016-02-01,1.5,1.664,,
2016-03-01,1.5,1.664,,
2016-04-01,1.5,1.602,,
2016-05-01,1.5,1.602,,
2016-06-01,1.25,1.602,,
2016-07-01,1.25,1.453,,
2016-08-01,1.25,1.453,,
2016-09-01,1.25,1.453,,
2016-10-01,1.25,1.402,,
2016-11-01,1.25,1.402,,
2016-12-01,1.25,1.402,,
2017-01-01,1.25,1.522,,
2017-02-01,1.25,1.522,,
2017-03-01,1.25,1.522,,
2017-04-01,1.25,1.44,,
2017-05-01,1.25,1.44,,
2017-06-01,1.25,1.44,,
2017-07-01,1.25,1.386,,
2017-08-01,1.25,1.386,,
2017-09-01,1.25,1.386,,
2017-10-01,1.25,1.362,,
2017-11-01,1.5,1.362,,
2017-12-01,1.5,1.362,,
